sku,product_name,price,brand,material,shape,dimension,origin,quantity_available,product_url
M67C T63/F987,MINIMA M67C T63/F987,9980000 ,MINIMA,Titanium,Vuông,52-19-139,Pháp,5,https://kinhmatviettin.vn/products/minima-m67c-t63f987
M67 F987,MINIMA M67 F987,9680000 ,MINIMA,Titanium,Vuông,52-19-139,Pháp,8,https://kinhmatviettin.vn/products/minima-m67-r074f987
M67 O21/F987,MINIMA M67 O21/F987,9680000 ,MINIMA,Titanium,Vuông,52-19-139,Pháp,9,https://kinhmatviettin.vn/products/minima-m67-o21f987
M66 R91/F968,MINIMA M66 R91/F968,9680000 ,MINIMA,Titanium,Đa giác,52-19-139,Pháp,8,https://kinhmatviettin.vn/products/minima-m66-r91f968
M66 N20/F968,MINIMA M66 N20/F968,9680000 ,MINIMA,Titanium,Đa giác,52-19-139,Pháp,8,https://kinhmatviettin.vn/products/minima-m66-n20f968-1
M7C 2201/F961,MINIMA M7C 2201/F961,6880000 ,MINIMA,Titanium,Phi công,52-18-148,Pháp,11,https://kinhmatviettin.vn/products/minima-m7c-2201f961
M7 2201/F939,MINIMA M7 2201/F939,6180000 ,MINIMA,Titanium,Chữ nhật,54-19-148,Pháp,13,https://kinhmatviettin.vn/products/minima-m7-2201f939
M7 2001/F939,MINIMA M7 2001/F939,6180000 ,MINIMA,Titanium,Chữ nhật,54-19-148,Pháp,11,https://kinhmatviettin.vn/products/minima-m7-2001f939
M7C 2001/F961,MINIMA M7C 2001/F961,6880000 ,MINIMA,Titanium,Phi công,52-18-148,Pháp,12,https://kinhmatviettin.vn/products/minima-m7c-2001f961-1
M7C 1802/F939,MINIMA M7C 1802/F939,6880000 ,MINIMA,Titanium,Chữ nhật,54-19-148,Pháp,7,https://kinhmatviettin.vn/products/minima-m7c-1802f939
M7 7902/F961,MINIMA M7 7902/F961,6180000 ,MINIMA,Titanium,Phi công,52-18-148,Pháp,13,https://kinhmatviettin.vn/products/minima-m7-7902f961
M7 7902/F939,MINIMA M7 7902/F939,6180000 ,MINIMA,Titanium,Chữ nhật,54-19-148,Pháp,13,https://kinhmatviettin.vn/products/minima-m7-7902f939
M7 2201/F961,MINIMA M7 2201/F961,6180000 ,MINIMA,Titanium,Phi công,52-18-148,Pháp,13,https://kinhmatviettin.vn/products/minima-m7-2201f961
